,geometry,GCX_OID,Address,Legal Description,Legal Type,Folio,PID,Additional PIDs,Plan Number,Land Use Code,Zoning,Zoning Description,Garbage Zone,Approximate Site Area (m²),Street View
2706,Geocortex.Gis.Geometries.Polygon,311,2139 YORK PL,"LOT 197, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP26402",LAND,386667-000,008-891-401,No,26402,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,1325.0,Click for Google StreetView
2708,Geocortex.Gis.Geometries.Polygon,316,2250 STAFFORD AVE,"LOT 270, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP61898",LAND,382005-009,002-976-862,No,61898,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,613.703125,Click for Google StreetView
2709,Geocortex.Gis.Geometries.Polygon,319,2286 STAFFORD AVE,"LOT 2, BLOCK 8, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP1957, GROUP 1",LAND,382020-002,012-425-613,No,1957,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,498.52685546875,Click for Google StreetView
2710,Geocortex.Gis.Geometries.Polygon,321,2282 NACHT AVE,"LOT 115, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-115,017-324-599,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,499.048828125,Click for Google StreetView
2711,Geocortex.Gis.Geometries.Polygon,322,1616 WESTERN DR,"LOT 328, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP29092, GROUP 1",LAND,387623-000,002-180-561,No,29092,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,918.643310546875,Click for Google StreetView
2712,Geocortex.Gis.Geometries.Polygon,324,2134 YORK PL,"LOT 187, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP26402, GROUP 1",LAND,386657-000,008-891-184,No,26402,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,800.6103515625,Click for Google StreetView
2714,Geocortex.Gis.Geometries.Polygon,326,1877 MARY HILL RD,"LOT 1, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN LMP48589",LAND,382006-001,024-932-272,No,LMP48589,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,707.29443359375,Click for Google StreetView
2715,Geocortex.Gis.Geometries.Polygon,329,2347 STAFFORD AVE,"LOT 14, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN LMP25384, GROUP 1",LAND,380301-314,023-242-060,No,LMP25384,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,660.4453125,Click for Google StreetView
2716,Geocortex.Gis.Geometries.Polygon,331,1670 MCPHERSON DR,"LOT 8, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-008,017-323-444,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,436.393310546875,Click for Google StreetView
2718,Geocortex.Gis.Geometries.Polygon,335,1687 MCPHERSON DR,"LOT 59, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-059,017-323-975,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,495.836669921875,Click for Google StreetView
2719,Geocortex.Gis.Geometries.Polygon,336,1584 ELINOR CRES,"LOT 648, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP31675",LAND,388020-000,001-620-614,No,31675,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,804.2177734375,Click for Google StreetView
2720,Geocortex.Gis.Geometries.Polygon,337,1851 WESTERN DR,"LOT 128, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP20516",LAND,384626-000,008-863-636,No,20516,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,966.566650390625,Click for Google StreetView
2721,Geocortex.Gis.Geometries.Polygon,339,1645 MCCHESSNEY ST,"LOT 38, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-038,017-323-754,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,380.53955078125,Click for Google StreetView
2722,Geocortex.Gis.Geometries.Polygon,340,1720 WESTERN DR,"LOT 251, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419",LAND,386628-000,008-976-007,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,757.56689453125,Click for Google StreetView
2723,Geocortex.Gis.Geometries.Polygon,341,1922 MARY HILL RD,"LOT 255, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP54072, GROUP 1",LAND,384610-001,004-380-215,No,54072,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,629.157958984375,Click for Google StreetView
2724,Geocortex.Gis.Geometries.Polygon,342,1638 MCPHERSON DR,"LOT 17, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-017,017-323-533,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,375.128173828125,Click for Google StreetView
2725,Geocortex.Gis.Geometries.Polygon,343,1626 OUGHTON DR,"LOT 275, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419",LAND,386652-000,000-969-362,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,746.24072265625,Click for Google StreetView
2727,Geocortex.Gis.Geometries.Polygon,348,1592 MARY HILL RD,"LOT 633, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP31330",LAND,387323-000,006-581-234,No,31330,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,930.574951171875,Click for Google StreetView
2728,Geocortex.Gis.Geometries.Polygon,349,1819 WESTERN DR,"LOT 170, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP21079",LAND,384662-000,010-249-141,No,21079,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,823.1064453125,Click for Google StreetView
2729,Geocortex.Gis.Geometries.Polygon,350,2270 MARSHALL AVE,"LOT A, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN BCP5337",LAND,381070-100,025-642-979,No,BCP5337,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,610.8310546875,Click for Google StreetView
2730,Geocortex.Gis.Geometries.Polygon,354,1763 WESTERN DR,"LOT 243, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419",LAND,384633-000,000-492-965,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,751.00439453125,Click for Google StreetView
2731,Geocortex.Gis.Geometries.Polygon,356,2358 MARSHALL AVE,"LOT 2, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN LMP25384, GROUP 1",LAND,380301-302,023-241-918,No,LMP25384,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,446.086181640625,Click for Google StreetView
2732,Geocortex.Gis.Geometries.Polygon,358,1654 OUGHTON DR,"LOT 213, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27191",LAND,386604-000,004-840-003,No,27191,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,812.181884765625,Click for Google StreetView
2733,Geocortex.Gis.Geometries.Polygon,359,1615 WESTERN DR,"LOT 311, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP29092",LAND,387310-000,009-087-290,No,29092,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,902.62060546875,Click for Google StreetView
2734,Geocortex.Gis.Geometries.Polygon,360,2327 STAFFORD AVE,"LOT 4, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP82248",LAND,380640-004,014-564-785,No,82248,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,520.914306640625,Click for Google StreetView
2735,Geocortex.Gis.Geometries.Polygon,361,1829 AIRE CRES,"LOT 152, DISTRICT LOT 290&342, NEW WEST DISTRICT, PLAN NWP20766",LAND,385321-000,009-526-803,No,20766,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,746.69091796875,Click for Google StreetView
2736,Geocortex.Gis.Geometries.Polygon,362,1955 EASTERN DR,"LOT 83, DISTRICT LOT 290&342, NEW WEST DISTRICT, PLAN NWP18281",LAND,385057-000,010-397-116,No,18281,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,1113.0,Click for Google StreetView
2740,Geocortex.Gis.Geometries.Polygon,367,2110 AUDREY DR,"LOT 348, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP29298",LAND,388314-000,000-628-948,No,29298,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,634.066650390625,Click for Google StreetView
2741,Geocortex.Gis.Geometries.Polygon,368,1627 MCPHERSON DR,"LOT 74, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-074,017-324-131,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,374.55859375,Click for Google StreetView
2742,Geocortex.Gis.Geometries.Polygon,369,2132 ANITA DR,"LOT 292, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419",LAND,387608-000,002-346-885,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,680.8701171875,Click for Google StreetView
2743,Geocortex.Gis.Geometries.Polygon,373,1627 WESTERN DR,"LOT 305, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP29092, GROUP 1",LAND,387304-000,007-483-031,No,29092,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,825.47705078125,Click for Google StreetView
2744,Geocortex.Gis.Geometries.Polygon,375,1836 MARY HILL RD,"LOT 122, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP20516",LAND,384620-000,004-401-093,No,20516,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,617.931884765625,Click for Google StreetView
2746,Geocortex.Gis.Geometries.Polygon,377,1677 MCCHESSNEY ST,"LOT 46, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-046,017-323-843,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,379.9619140625,Click for Google StreetView
2747,Geocortex.Gis.Geometries.Polygon,378,1866 WESTERN DR,"LOT 143, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP20766",LAND,385313-000,004-782-372,No,20766,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,710.218017578125,Click for Google StreetView
2748,Geocortex.Gis.Geometries.Polygon,379,2235 STAFFORD AVE,"LOT 267, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP61898",LAND,382005-006,000-547-999,No,61898,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,816.055419921875,Click for Google StreetView
2749,Geocortex.Gis.Geometries.Polygon,380,2340 MARSHALL AVE,"LOT 218, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP40635",LAND,380641-000,005-375-291,No,40635,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,679.49853515625,Click for Google StreetView
2750,Geocortex.Gis.Geometries.Polygon,381,2152 LAMPREY DR,"LOT 166, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP20766",LAND,386333-000,007-614-527,No,20766,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,800.051025390625,Click for Google StreetView
2752,Geocortex.Gis.Geometries.Polygon,384,1788 MARY HILL RD,"LOT 641, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP31330",LAND,384650-000,006-581-366,No,31330,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,675.50146484375,Click for Google StreetView
2753,Geocortex.Gis.Geometries.Polygon,389,1690 MCCHESSNEY ST,"LOT 109, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199, GROUP 1",LAND,383306-109,017-324-521,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,408.195556640625,Click for Google StreetView
2754,Geocortex.Gis.Geometries.Polygon,391,1610 MCPHERSON DR,"LOT 25, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199, GROUP 1",LAND,383306-025,017-323-622,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,468.75,Click for Google StreetView
2755,Geocortex.Gis.Geometries.Polygon,394,1562 SHAUGHNESSY ST,"LOT 1114, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP47010",LAND,387335-001,006-171-613,No,47010,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,527.28662109375,Click for Google StreetView
2756,Geocortex.Gis.Geometries.Polygon,396,2147 ANITA DR,"LOT 258, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419",LAND,386635-000,000-610-704,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,825.8466796875,Click for Google StreetView
2758,Geocortex.Gis.Geometries.Polygon,400,1632 MCHUGH CLOSE,"LOT 85, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-085,017-324-271,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,376.8984375,Click for Google StreetView
2760,Geocortex.Gis.Geometries.Polygon,403,1667 MCPHERSON DR,"LOT 64, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-064,017-324-025,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,377.269775390625,Click for Google StreetView
2761,Geocortex.Gis.Geometries.Polygon,404,1690 MCPHERSON DR,"LOT 2, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-002,017-323-380,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,374.79345703125,Click for Google StreetView
2762,Geocortex.Gis.Geometries.Polygon,405,2148 AUDREY DR,"LOT 317, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP29092",LAND,388305-000,000-909-572,No,29092,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,701.6494140625,Click for Google StreetView
2763,Geocortex.Gis.Geometries.Polygon,407,1451 FLORA PL,"LOT 654, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP31675, GROUP 1",LAND,388032-000,006-675-743,No,31675,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,1523.0,Click for Google StreetView
2764,Geocortex.Gis.Geometries.Polygon,409,2283 STAFFORD AVE,"LOT 7, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP82227",LAND,381070-007,014-590-620,No,82227,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,536.470947265625,Click for Google StreetView
2765,Geocortex.Gis.Geometries.Polygon,413,2149 AUDREY DR,"LOT 325, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP29092",LAND,387620-000,005-291-861,No,29092,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,748.455322265625,Click for Google StreetView
2766,Geocortex.Gis.Geometries.Polygon,414,1750 WESTERN DR,"LOT 226, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27191",LAND,386346-000,001-598-180,No,27191,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,935.583251953125,Click for Google StreetView
2767,Geocortex.Gis.Geometries.Polygon,416,1676 MCHUGH CLOSE,"LOT 92, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-092,017-324-351,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,562.9677734375,Click for Google StreetView
2768,Geocortex.Gis.Geometries.Polygon,417,1626 MARY HILL RD,"LOT 627, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP31330",LAND,387317-000,006-581-188,No,31330,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,867.052734375,Click for Google StreetView
2769,Geocortex.Gis.Geometries.Polygon,418,2131 ANITA DR,"STRATA LOT 264, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419, GROUP 1",LAND,386641-000,000-642-347,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,766.523681640625,Click for Google StreetView
2770,Geocortex.Gis.Geometries.Polygon,421,1853 MARY HILL RD,"LOT 4, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN LMP48589",LAND,382006-004,024-932-302,No,LMP48589,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,584.472900390625,Click for Google StreetView
2772,Geocortex.Gis.Geometries.Polygon,424,1731 OUGHTON DR,"LOT 232, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27191",LAND,386352-000,008-967-351,No,27191,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,737.422119140625,Click for Google StreetView
2773,Geocortex.Gis.Geometries.Polygon,426,2338 NACHT AVE,"LOT 53, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-053,017-323-916,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,374.70947265625,Click for Google StreetView
2774,Geocortex.Gis.Geometries.Polygon,427,1645 MCHUGH CLOSE,"LOT 98, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-098,017-324-416,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,404.800537109375,Click for Google StreetView
2775,Geocortex.Gis.Geometries.Polygon,428,1724 MARY HILL RD,"LOT 621, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP31330",LAND,384646-000,004-262-891,No,31330,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,859.922607421875,Click for Google StreetView
2776,Geocortex.Gis.Geometries.Polygon,429,1625 WESTERN DR,"LOT 306, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP29092",LAND,387305-000,009-087-214,No,29092,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,816.840576171875,Click for Google StreetView
2777,Geocortex.Gis.Geometries.Polygon,430,1805 AIRE CRES,"LOT 155, BLOCK E & K, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP20766",LAND,385324-000,001-497-499,No,20766,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,691.072998046875,Click for Google StreetView
2778,Geocortex.Gis.Geometries.Polygon,431,2343 STAFFORD AVE,"LOT 15, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN LMP25384",LAND,380301-315,023-242-078,No,LMP25384,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,671.15478515625,Click for Google StreetView
2780,Geocortex.Gis.Geometries.Polygon,434,1599 ELINOR CRES,"LOT 573, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP31081",LAND,387312-000,005-007-607,No,31081,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,747.271240234375,Click for Google StreetView
2781,Geocortex.Gis.Geometries.Polygon,435,2268 NACHT AVE,"LOT 118, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP1225",LAND,383030-001,017-430-038,No,LMP1225,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,584.718505859375,Click for Google StreetView
2782,Geocortex.Gis.Geometries.Polygon,437,1580 ELINOR CRES,"LOT 649, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP31675, GROUP 1",LAND,388022-000,006-675-662,No,31675,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,839.258544921875,Click for Google StreetView
2783,Geocortex.Gis.Geometries.Polygon,438,1628 MCCHESSNEY ST,"LOT 80, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-080,017-324-190,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,395.599609375,Click for Google StreetView
2785,Geocortex.Gis.Geometries.Polygon,440,1739 WESTERN DR,"LOT 246, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419",LAND,384636-000,008-910-120,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,785.64697265625,Click for Google StreetView
2787,Geocortex.Gis.Geometries.Polygon,445,1676 MCPHERSON DR,"LOT 6, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-006,017-323-428,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,452.11865234375,Click for Google StreetView
2788,Geocortex.Gis.Geometries.Polygon,446,1624 MARY HILL RD,"LOT 628, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP31330",LAND,387318-000,006-581-200,No,31330,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,880.2041015625,Click for Google StreetView
2789,Geocortex.Gis.Geometries.Polygon,447,1634 OUGHTON DR,"LOT 276, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419",LAND,386653-000,005-291-399,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,756.777099609375,Click for Google StreetView
2790,Geocortex.Gis.Geometries.Polygon,449,1567 RITA PL,"LOT 438, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP30158",LAND,387056-000,006-471-862,No,30158,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,894.35888671875,Click for Google StreetView
2791,Geocortex.Gis.Geometries.Polygon,450,1649 MCCHESSNEY ST,"LOT 39, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-039,017-323-762,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,380.53173828125,Click for Google StreetView
2792,Geocortex.Gis.Geometries.Polygon,451,1624 WESTERN DR,"LOT 299, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419, GROUP 1",LAND,387615-000,008-976-376,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,787.123291015625,Click for Google StreetView
2793,Geocortex.Gis.Geometries.Polygon,452,1636 MCPHERSON DR,"LOT 18, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-018,017-323-541,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,374.314697265625,Click for Google StreetView
2794,Geocortex.Gis.Geometries.Polygon,456,2284 MARSHALL AVE,"LOT 2, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP82227",LAND,381070-002,014-590-573,No,82227,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,490.212158203125,Click for Google StreetView
2795,Geocortex.Gis.Geometries.Polygon,457,2266 MARSHALL AVE,"LOT B, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN BCP5337",LAND,381070-200,025-642-987,No,BCP5337,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,614.06982421875,Click for Google StreetView
2797,Geocortex.Gis.Geometries.Polygon,459,1710 WESTERN DR,"LOT 252, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419",LAND,386629-000,001-923-021,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,748.502197265625,Click for Google StreetView
2798,Geocortex.Gis.Geometries.Polygon,461,1666 MCCHESSNEY ST,"LOT 104, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-104,017-324-475,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,373.48095703125,Click for Google StreetView
2799,Geocortex.Gis.Geometries.Polygon,463,1613 WESTERN DR,"LOT 312, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP29092",LAND,387311-000,009-087-303,No,29092,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,1034.0,Click for Google StreetView
2800,Geocortex.Gis.Geometries.Polygon,465,2348 STAFFORD AVE,"LOT 20, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN LMP25384",LAND,380301-320,023-242-141,No,LMP25384,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,550.328857421875,Click for Google StreetView
2801,Geocortex.Gis.Geometries.Polygon,466,2315 STAFFORD AVE,"LOT 7, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP82248, GROUP 1",LAND,380640-007,014-564-815,No,82248,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,573.469970703125,Click for Google StreetView
2802,Geocortex.Gis.Geometries.Polygon,467,1580 SHAUGHNESSY ST,"LOT 636, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP31330, GROUP 1",LAND,387326-000,004-538-366,No,31330,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,776.664794921875,Click for Google StreetView
2803,Geocortex.Gis.Geometries.Polygon,469,2122 AUDREY DR,"LOT 343, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP29298",LAND,388310-000,009-047-573,No,29298,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,683.89013671875,Click for Google StreetView
2804,Geocortex.Gis.Geometries.Polygon,470,1591 PITT RIVER RD,"LOT 5, DISTRICT LOT 384, NEW WEST DISTRICT, PLAN NWP74266",LAND,344010-005,007-279-485,No,74266,No,RS2,RESIDENTIAL SINGLE DWELLING 2,5.0,641.242919921875,Click for Google StreetView
2806,Geocortex.Gis.Geometries.Polygon,474,1623 MCCHESSNEY ST,"LOT 33, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-033,017-323-703,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,380.539306640625,Click for Google StreetView
2807,Geocortex.Gis.Geometries.Polygon,475,2138 ANITA DR,"LOT 293, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419, GROUP 1",LAND,387609-000,008-976-295,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,758.355224609375,Click for Google StreetView
2808,Geocortex.Gis.Geometries.Polygon,476,2114 ANITA DR,"LOT 287, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419",LAND,387604-000,008-976-228,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,756.453857421875,Click for Google StreetView
2809,Geocortex.Gis.Geometries.Polygon,479,1795 WESTERN DR,"LOT 239, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP27419",LAND,384629-000,008-909-989,No,27419,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,719.663330078125,Click for Google StreetView
2810,Geocortex.Gis.Geometries.Polygon,480,1828 MARY HILL RD,"LOT 123, BLOCK E, DISTRICT LOT 290, NEW WEST DISTRICT, PLAN NWP20516",LAND,384621-000,002-683-822,No,20516,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,674.78759765625,Click for Google StreetView
2811,Geocortex.Gis.Geometries.Polygon,481,2106 AUDREY DR,"LOT 349, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP29298",LAND,388315-000,009-047-735,No,29298,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,625.8251953125,Click for Google StreetView
2812,Geocortex.Gis.Geometries.Polygon,482,1623 MCPHERSON DR,"LOT 75, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN LMP199",LAND,383306-075,017-324-149,No,LMP199,No,RS2,RESIDENTIAL SINGLE DWELLING 2,4.0,488.68994140625,Click for Google StreetView
2814,Geocortex.Gis.Geometries.Polygon,487,2158 LAMPREY DR,"LOT 167, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP20766",LAND,386334-000,003-096-645,No,20766,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,859.83642578125,Click for Google StreetView
2815,Geocortex.Gis.Geometries.Polygon,488,1563 ELINOR CRES,"LOT 689, DISTRICT LOT 342, NEW WEST DISTRICT, PLAN NWP31675",LAND,387391-000,001-980-912,No,31675,No,RS1,RESIDENTIAL SINGLE DWELLING 1,4.0,667.37646484375,Click for Google StreetView
